id,project_id,comment_text,comment_type,created_at,updated_at,author,category,text
56,378,A lot as I do not know what the exhibit does are aims to do/see,general,2025-10-06 14:57:24.81+00,2025-10-06 14:57:24.397837+00,Inka,3,
57,378,I have no idea based on the clip,general,2025-10-06 14:57:42.371+00,2025-10-06 14:57:41.930646+00,Inka,4,
58,384,"The description is good and clear. How ever this is interesting voor secondary school studnets/teachers. I am not sure if it can be used for NEMO, it is very specific linked to a small part of the curriculum.",general,2025-10-06 15:00:24.08+00,2025-10-06 15:00:23.765866+00,Inka,1,
59,384,"For NEMO I am not sure, for secondary schools yes",general,2025-10-06 15:00:45.52+00,2025-10-06 15:00:45.075816+00,Inka,2,
60,384,Now I do not see the relevance for NEMO. Maybe there is but there is work in making clear why it is imoptant in our daily lives of if it was a breaktrough in science or .....,general,2025-10-06 15:01:52.147+00,2025-10-06 15:01:51.766121+00,Inka,3,
61,384,"I see problems rather than oppertunities; link daily live, difficult phenomena, hard to hear, small....",general,2025-10-06 15:02:55.725+00,2025-10-06 15:02:55.300064+00,Inka,4,
62,400,"Nice. I like it. You easely can see what happens, 
In a project a online game (small game) which the participant expierence the same thing is developed.",general,2025-10-06 15:05:37.299+00,2025-10-06 15:05:37.142257+00,Inka,1,
63,400,"I see oppertunities: it can be linked to the earth as a whole, place on the arth, day and night, seasons. That has to be developed/tought trough.",general,2025-10-06 15:06:52.982+00,2025-10-06 15:06:52.558086+00,Inka,2,
64,400,Is it strong and sturdy engough? Will it work through a class (if it is in a vitrine). There is the risk of lights and playing with it (in eys or so),general,2025-10-06 15:08:12.568+00,2025-10-06 15:08:12.156955+00,Inka,3,
65,400,"I think it is quick feedback, the importance is good the see for many.",general,2025-10-06 15:08:44.946+00,2025-10-06 15:08:44.508903+00,Inka,4,
66,408,"Well executed and done, but I don't see a use for NEMO. The principle is that air expands when heated, and you can use that. There are better ways so see/show that gas expands when heated.",general,2025-10-06 15:12:44.955+00,2025-10-06 15:12:44.663283+00,Inka,1,
67,408,Good execution but I do not see a potential in NEMO. Expanding gas to use for movement seems not very usable,general,2025-10-06 15:13:38.884+00,2025-10-06 15:13:38.423574+00,Inka,2,
68,408,"Why is this exhibit the best way to show this phenomena. It is a good example of making a physics phenomena visible purely for the phenomena. It is not playful, or has a link with visitors.",general,2025-10-06 15:15:39.178+00,2025-10-06 15:15:38.73792+00,Inka,3,
69,415,"It is a nice example of transfering and storing energy. How ever why a car, that is not very handy.",general,2025-10-06 15:17:38.989+00,2025-10-06 15:17:38.530107+00,Inka,1,
70,415,"I do not see oppertunities. I think the water can be problem; water in NEMo but also it is not very sustainable (unless there is a pomp and the same water is used). But even than why a car? Water energy in the past is used for pomping water, mills. That link is more logic to my",general,2025-10-06 15:19:25.609+00,2025-10-06 15:19:25.187172+00,Inka,2,
71,415,see the cooment at oppertunities,general,2025-10-06 15:19:45.09+00,2025-10-06 15:19:44.612662+00,Inka,3,
72,415,"Quick feedback, link to rivers is strong. But do we want vistors to do this themselfes?",general,2025-10-06 15:20:33.668+00,2025-10-06 15:20:33.197401+00,Inka,4,
73,345,"fenomena/technium, past bij de elektriciteitsexhibits die we nu hebben staan op de vloer. Al snap ik niet precies wat de output is van dit ding.",general,2025-10-07 14:50:56.209+00,2025-10-07 14:50:57.147733+00,Jose,1,
74,345,"De uitleg en instructie, wat hebben we aan deze opstelling? Waarom zouden we het impulsmoment willen meten, wat is de context van dit ding? Misschien een vergelijking met een andere situatie? Wat zegt de snelheid die je zodirect meet precies?",general,2025-10-07 14:53:33.215+00,2025-10-07 14:53:33.667684+00,Jose,2,
75,345,Nee ik denk dat dit goed te doen is. Iets dat draait kost veel onderhoud.,general,2025-10-07 14:54:10.711+00,2025-10-07 14:54:11.159515+00,Jose,3,
76,345,opwinding en inspiratie (heel gesloten exhibit),general,2025-10-07 14:54:43.232+00,2025-10-07 14:54:43.693932+00,Jose,4,
77,399,technium de fabriek,general,2025-10-07 14:56:38.47+00,2025-10-07 14:56:38.89273+00,Jose,1,
78,399,iets meer open zou het een werkplaats activiteit kunnen zijn die gekoppeld is aan de mechanismen in de fabriek,general,2025-10-07 14:57:30.43+00,2025-10-07 14:57:30.856518+00,Jose,2,
79,399,opvangen balletjes en weer terug stoppen is veel handeling en veel losse balletjes,general,2025-10-07 14:58:00.998+00,2025-10-07 14:58:01.421318+00,Jose,3,
80,399,opwinding en inspiratie,general,2025-10-07 14:58:19.982+00,2025-10-07 14:58:20.400387+00,Jose,4,
81,380,fenomena--magnetisme/elektriciteit  & technium--elektromotor,general,2025-10-07 14:59:43.39+00,2025-10-07 14:59:43.82516+00,Jose,1,
82,380,"koppeling aan toepassingen zoals elektromotor. Ook sowieso zou je dit om kunnen draaien, dus een magneet langs de spoel bewegen wekt stroom op (dynamo) en andersom de elektromagneet kan een beweging veroorzaken",general,2025-10-07 15:01:37.998+00,2025-10-07 15:01:38.730532+00,Jose,2,
83,380,goed zichtbaar maken van de onderdelen,general,2025-10-07 15:02:04.094+00,2025-10-07 15:02:04.543116+00,Jose,3,
84,380,onderzoeken en ontwerpen (als je hem twee kanten op laat werken),general,2025-10-07 15:02:34.718+00,2025-10-07 15:02:35.194598+00,Jose,4,
85,403,iets meer info over het project een filmpje ofzo zou het iets duidelijker maken,general,2025-10-07 15:03:51.886+00,2025-10-07 15:03:52.353421+00,Jose,5,
86,335,"This could be an addition to our technium exhibition. To show how you can use waterpower to generate electricity.
 
It would be nice to add it to our Waterstroom exhbit in which people build dams.

It does need some explanation about using manual labour to put the water in the upper part and then use this energy to generate electricity. I think it might be confusing.",general,2025-10-08 07:29:29.416+00,2025-10-08 07:29:29.784155+00,Judith,1,
87,335,"Ah, i already wrote tis with the exhibit. ik think it would be a great add on to our waterstroom exhibit.",general,2025-10-08 07:30:17.913+00,2025-10-08 07:30:17.986773+00,Judith,2,
88,335,To have the visitor understand why you are heaving up the water first. To make really clear how the generator works,general,2025-10-08 07:31:10.367+00,2025-10-08 07:31:10.527309+00,Judith,3,
89,335,Opwinding en inspiratie en kennis en inzicht. I think it is really fun to heave the water up and i like it that it really shows that if the water is up you can use this energy to generate electricity.,general,2025-10-08 07:32:03.436+00,2025-10-08 07:32:03.511207+00,Judith,4,
90,361,"Dit zou een mooie extra zijn bij de Bernoulliblower (Ballenblazer, huidige Verdieping 1 in NEMO) Dit laat heel duidelijk zien hoe het Bernoulli effect toegepast wordt in het dagelijks leven.",general,2025-10-08 07:57:27.564+00,2025-10-08 07:57:27.06963+00,Katja,2,
91,361,"Als uitbreiding bij Fenomena, de ballenblazer, om de link naar het dagelijks leven te maken.",general,2025-10-08 07:58:35.647+00,2025-10-08 07:58:35.122354+00,Katja,1,
92,361,"Je ziet nu niet goed wat het is. Om de link met het dagelijks leven en het principe van 'lift' herkenbaarder te maken Zou je als achtergrond een grote  foto van een vliegtuigvleugel kunnen ophangen, dan is het meteen duidelijk dat het daarover gaat en nodigt het meer uit om te gaan uitproberen.",general,2025-10-08 08:29:56.561+00,2025-10-08 08:29:56.010425+00,Katja,2,
93,361,"Het ziet er niet zo sterk uit, de opstelling zou wat meer solide moeten zijn, anders ben je bang dat je het kapot maakt als je het aanraakt en nodigt het niet uit tot; doen.  Je moet goed kunnen zien wat je doet, dus in welke mate pas je de hoek van de vleugel aan? En op welke stand zet je de ventilator?",general,2025-10-08 08:32:57.914+00,2025-10-08 08:32:57.595109+00,Katja,3,
94,361,Onderzoeken. Je kunt verschillende dingen uitproberen: de kracht van de luchtstroom sterker maken en de hoek van de vleugel aanpassen.,general,2025-10-08 08:33:50.879+00,2025-10-08 08:33:50.320341+00,Katja,4,
95,343,Demonstration: but not a very cool one,general,2025-10-08 10:28:51.351+00,2025-10-08 10:27:43.822269+00,Esther,1,
96,343,"Set up would need to be improved, making the technology visible. I have read very quickly, but the rings are coild? show it. The pipe: make it transparent.  But then, what happens: why are there four rings, why are they placed on these locations? Are they programmed ot go off one by one? show this, possibly this is a small difference. I don't think this could be nice for viistors.",general,2025-10-08 10:31:30.922+00,2025-10-08 10:30:23.275414+00,Esther,2,
97,343,"I don't think this can be made interactive, it probably doesn't work if the visitor could experiment with the order of placement of the rings? Then, it would not be ""|Reserach"", it would be ""knowledge and insight"", if the ball would actually shoot, it might be ""Excitement and inspiration""",general,2025-10-08 10:33:21.062+00,2025-10-08 10:32:13.447471+00,Esther,4,
98,344,Demonstration car.,general,2025-10-08 10:35:38.972+00,2025-10-08 10:34:31.353186+00,Esther,1,
99,344,"Seems to be an easy experiment. Good demo of combustion chamber, fits the contents of V2. But also: in the grand scheme of things, we want to get rid of combustion engines, so, wouldn't be my first topic to develop a demo for.",general,2025-10-08 10:37:18.27+00,2025-10-08 10:36:10.61094+00,Esther,2,
100,344,Sees to be feasible. Is it easy to replace the piece of cotton? Would you need a lot? Is there a risk for fire? Sprinklers / fire systems that go off?,general,2025-10-08 10:38:17.961+00,2025-10-08 10:37:10.331418+00,Esther,3,
101,344,"A tad of excitement, because it is a spark. Otherwise: knowledge and insight.",general,2025-10-08 10:38:52.6+00,2025-10-08 10:37:44.953293+00,Esther,4,
102,355,"I would say: not suitable. I have seen this one in real life. The difference was not so compelling in the real thing. Although it is a visible effect between two situations, it is nog so experiential. And not so easy to understand I think? I think there are other exhibits / demo's that make eddy currents easier to understand. What I like about it is that it feels more applied (but, is it applied like this as well?)",general,2025-10-08 11:12:46.758+00,2025-10-08 11:11:39.626985+00,Esther,5,
103,373,"I think this is a very appealing thing, that could perhaps be displayed in the werkplaats. the only downside is, that if it is displayed in a display case, you can't see it in action, so perhaps a video should be added too. 
Inspiring.
Not a phenomenon, but a machine, technology, V2.",general,2025-10-08 11:15:45.379+00,2025-10-08 11:14:37.740313+00,Esther,5,
104,369,"Cute thing, but isn't working very convincingly.",general,2025-10-08 11:30:32.834+00,2025-10-08 11:29:25.362157+00,Esther,1,
105,386,"Not sure how to evaluate this. 
Seems to be a robustly built thing, it is fun that you can feel the difference between more or less voltage. But I think it should be a model of something in real life to seals the deal. If so, it could perhaps be integrated in some way on V2? would be nice if visitors can actually push the handle themselves, but it is not robust enough to be a stand alone exhibit. Needs some discussion.",general,2025-10-08 11:35:21.747+00,2025-10-08 11:34:14.014878+00,Esther,5,
106,404,"Could be nice to integratie in demonstration Chain reaction. Or it is already part of that? To discuss with Pietje / Fransje?
Otherwise: we have a similar gear mechanism, without the pump in the Factory (V2), I think?",general,2025-10-08 11:38:14.384+00,2025-10-08 11:37:06.668451+00,Esther,5,
107,350,"We considered this exact set-up already for V1 and discarded it because it is not a very unexpected phenomenon. This demo only demonstrates the effect, which you can hear outside as well when you hear an ambulance. But it doesn't explain how this effect happens. So, this is a no.",general,2025-10-08 11:41:19.99+00,2025-10-08 11:40:12.246541+00,Esther,5,
108,381,De auto rijdt niet op de stroom gegenereerd door de fotocel als ik het goed begrijp. De stroom uit de cel schakelt de elektromotor alleen trapsgewijs aan of uit. Wat mij betreft maakt dat deze exhibit niet echt interessant voor ons.,general,2025-10-08 12:05:35.623+00,2025-10-08 12:05:35.684278+00,Mart,3,
109,383,"Ik vind piezokristallen fantastisch. Het zijn dus kristallen die een voltage genereren als er druk op komt te staan en ze vervormen. Dit principe gebruiken kampingaanstekers. Je kan het ook omdraaien. Als je er een voltage opzet vervormt het kristal. Je kan er zelfs een microfoon mee maken: https://www.youtube.com/watch?v=ZlVI7YJGHq0

Toffe opstelling om te laten zien. Misschien in een combinatie met andere opstellingen over verschillende manieren waarop stroom op te wekken is.",general,2025-10-08 12:09:14.808+00,2025-10-08 12:09:14.432268+00,Mart,2,
110,401,"Dit is echt ingewikkeld. Deze zou ik overslaan voor nu. Sluit opzich wel aan bij de inhoud van Elementa, maar is echt niet geschikt voor voor de meeste bezoekers qua niveau",general,2025-10-08 12:15:16.975+00,2025-10-08 12:15:16.912372+00,Mart,3,
111,414,Al die wateropstellingen vind ik over het algemeen niet zo boeiend. En water is over het algemeen niet heel chill om mee te werken. Ik kan me wel voorstellen dat het leuk is om een kar ofzo met iets van 3 kleine wateropstellingen te hebben voor in de zomer op het dak van nemo,general,2025-10-08 12:18:28.326+00,2025-10-08 12:18:27.981496+00,Mart,2,
112,416,Zie mijn opmerking bij de andere wateropstelling,general,2025-10-08 12:19:17.183+00,2025-10-08 12:19:16.871596+00,Mart,2,
113,403,technium and fenomena,general,2025-10-08 15:35:54.23+00,2025-10-08 15:35:55.366156+00,Jose,1,
114,403,vergelijken met andere materialen waar je geluid doorheen laat gaan. nu zegt het niet zo heel veel als exhibit.,general,2025-10-08 15:36:42.404+00,2025-10-08 15:36:43.554438+00,Jose,2,
115,403,"geluid in NEMO is een challenge, iets laten vallen als geluidseffect misschien niet het duidelijkst. Ergens op slaan of tikken misschien duidelijker?",general,2025-10-08 15:37:27.676+00,2025-10-08 15:37:28.781223+00,Jose,3,
116,403,"wel leuke context met luisteren aan materialen, vroeger je oor op een rails leggen en dan horen of er al iets aankomt itt tot dat je dat niet via de lucht hoort. Maar dan gaat het ook om hoever het geluid komt door een materiaal. Geluidssnelheid heeft wel veel leuke raakvlakken, onweer: verschil snelheid geluid en licht, etc.",general,2025-10-08 15:39:40.7+00,2025-10-08 15:39:41.821859+00,Jose,2,
117,403,met meerdere materialen onderzoeken en ontwerpen,general,2025-10-08 15:40:14.804+00,2025-10-08 15:40:15.917591+00,Jose,4,
118,405,"experiment, fenomena, technium gaat alleen over het omzetten van licht in elektriciteit, niet over de warmte van de zon",general,2025-10-08 15:42:25.468+00,2025-10-08 15:42:26.831644+00,Jose,1,
119,405,zelf zoeken van brandpunt en het verschil meten. 'wat heb je eigenlijk aan een brandpunt heel letterlijk ervaren',general,2025-10-08 15:43:22.772+00,2025-10-08 15:43:23.903458+00,Jose,2,
120,405,"water koken in nemo is een challenge, misschien moet dit gewoon direct de thermometer punt zijn die opgewarmd wordt",general,2025-10-08 15:44:00.804+00,2025-10-08 15:44:01.93308+00,Jose,3,
121,405,"onderzoeken en ontwerpen, opwinding en inspiratie",general,2025-10-08 15:44:21.78+00,2025-10-08 15:44:22.892227+00,Jose,4,
122,411,technium: technische toepassingen,general,2025-10-08 15:46:20.403+00,2025-10-08 15:46:21.532574+00,Jose,1,
123,411,werkplaats experimenteren met materialen,general,2025-10-08 15:46:38.819+00,2025-10-08 15:46:40.165169+00,Jose,2,
124,411,dingen snijden levert veel rommel op,general,2025-10-08 15:47:04.203+00,2025-10-08 15:47:05.317982+00,Jose,3,
125,411,onderzoeken en ontwerpen,general,2025-10-08 15:47:17.715+00,2025-10-08 15:47:18.824402+00,Jose,4,
126,412,technium: pneumatiek kracht uitoefenen met lucht,general,2025-10-08 15:48:32.083+00,2025-10-08 15:48:33.1963+00,Jose,1,
127,412,in de werkplaats of daar in de buurt kleine demo met de kracht van lucht. al zijn de bollen wel toffer,general,2025-10-08 15:49:06.035+00,2025-10-08 15:49:07.149154+00,Jose,2,
128,412,"je zou het kunnen toepassen, lijkt een beetje ingewikkeld ding voor wat het doet",general,2025-10-08 15:49:54.235+00,2025-10-08 15:49:55.362052+00,Jose,3,
129,412,onderzoeken en ontwerpen opwinding en inspiratie,general,2025-10-08 15:50:14.307+00,2025-10-08 15:50:15.404959+00,Jose,4,
130,418,technium,general,2025-10-08 15:51:16.251+00,2025-10-08 15:51:17.693633+00,Jose,1,
131,418,"beter uitleggen hoe de dynamo van een windmolen werkt, toevoeging aan de windmolen exhibit waarbij je de wieken en plaatsing van de wieken onderzoekt",general,2025-10-08 15:52:18.291+00,2025-10-08 15:52:19.471701+00,Jose,2,
132,418,niet zoveel,general,2025-10-08 15:52:36.883+00,2025-10-08 15:52:38.005552+00,Jose,3,
133,418,onderzoeken,general,2025-10-08 15:52:49.316+00,2025-10-08 15:52:50.451914+00,Jose,4,
134,365,Fenomena or technium or school workshop,general,2025-10-09 12:09:32.044+00,2025-10-09 12:09:31.948389+00,Judith,1,
135,365,You could make a predioction and test to see what happnes. Maybe mass also influences the speed? But is also quit limited what you can do with it i think.,general,2025-10-09 12:10:39.741+00,2025-10-09 12:10:39.599349+00,Judith,2,
136,365,"Make it more interactive then just drop uit, is it exciting/surprising enough?",general,2025-10-09 12:11:08.998+00,2025-10-09 12:11:08.821427+00,Judith,3,
137,365,?,general,2025-10-09 12:11:19.985+00,2025-10-09 12:11:19.833069+00,Judith,4,
138,365,Ik weet  eigenlijk te weinig over deze exhibit om er iets over te zeggen...,general,2025-10-09 12:12:05.812+00,2025-10-09 12:12:05.662032+00,Judith,5,
139,366,"Werkplaats, Technium of demo proef in laboratorium?",general,2025-10-09 12:13:11.009+00,2025-10-09 12:13:10.865235+00,Judith,1,
140,366,"Reallycool;), Never saw this experiment before, so that is a real plus! Might be a cool experiment for our demonstration wonder of wetenschap",general,2025-10-09 12:16:15.284+00,2025-10-09 12:16:15.436794+00,Judith,2,
141,366,Working with liquid nitrogen,general,2025-10-09 12:16:46.11+00,2025-10-09 12:16:45.957351+00,Judith,3,
142,366,Opwinding en inspiratie,general,2025-10-09 12:17:00.205+00,2025-10-09 12:17:00.061429+00,Judith,4,
143,375,"Fenomena, technium",general,2025-10-09 12:17:55.308+00,2025-10-09 12:17:55.147705+00,Judith,1,
144,375,"Cool! Could be used explaining energy/magnetic field lenz law or related subjects. 

Kan ook gebruikt worden als een dialoog starter bij het onderwerp energie en duurzaamheid (Zoals we ooit de perpetuel movement in de studio hebben ingezet bij de tent. over energie",general,2025-10-09 12:19:28.904+00,2025-10-09 12:19:28.771641+00,Judith,2,
145,375,"Het ook daadwerklijke perpetueal maken. 
Het verwonderd de bezoeker denk ik erg, maar je kan er zelf niet veel mee doen, dus de exhibit interactief maken.",general,2025-10-09 12:20:45.543+00,2025-10-09 12:20:45.359085+00,Judith,3,
146,375,"Opwinding en inspiratie
Kennis&inzicht (Je kan hier denk ik ook veel ,verschillende dingen mee uitleggen)",general,2025-10-09 12:21:19.265+00,2025-10-09 12:21:19.101026+00,Judith,4,
147,375,"I really like this one, never saw it before and a cool way to discuss about different topics.",general,2025-10-09 12:21:46.166+00,2025-10-09 12:21:45.976404+00,Judith,5,
148,382,"The video was a bit unclear for me, but if I understand correctly, this machine shows how you can transmit sounds. I wonder if this is wonder-inducing enough, since we use phones every day and sound also just 'appears there'. And I wonder if it's obvious enough how the technique behind it works. But I don't think this exhibit explains very well what happens — it only shows the technique. If that's the case, then it isn't really useful...",general,2025-10-09 12:29:13.556+00,2025-10-09 12:29:13.453579+00,Judith,5,
149,382,Fenomena,general,2025-10-09 12:29:36.787+00,2025-10-09 12:29:36.573719+00,Judith,1,
150,382,Use it with old objects from the depot to show how you can transmit sound and relate it to phones?,general,2025-10-09 12:30:20.488+00,2025-10-09 12:30:20.296816+00,Judith,2,
151,382,kennis en inzicht,general,2025-10-09 12:30:35.373+00,2025-10-09 12:30:35.16264+00,Judith,4,
152,388,Technium,general,2025-10-09 12:32:15.971+00,2025-10-09 12:32:15.823129+00,Judith,1,
153,388,"I am not totally sure what is happening here:) But i think it can be realted to the Fabriek en het omzetten van energie en beweging? 
Tof om als extra opstelling te gebruiken als we een keer iets met overbrengingen gaan doen",general,2025-10-09 12:33:30.751+00,2025-10-09 12:33:30.571123+00,Judith,2,
154,388,Kan te weinig zien wat het is om hier iets over te zeggen,general,2025-10-09 12:33:53.936+00,2025-10-09 12:33:53.712597+00,Judith,3,
155,395,-,general,2025-10-09 12:35:18.544+00,2025-10-09 12:35:18.360435+00,Judith,1,
156,395,I think this one is not interesting for the museum. The subject is to specific. I don't seee any use:),general,2025-10-09 12:35:53.039+00,2025-10-09 12:35:52.831394+00,Judith,5,
157,420,"Fenomena exhibit

workshop edition bij laat je lampje branden",general,2025-10-09 15:58:24.233+00,2025-10-09 15:58:23.769901+00,Judith,1,
158,420,"Tof om te zien dat het lampje aan gaat, zou nog dingen kunnen toevoegen misschien, wat gebeurd er als je een magneet in de buurt houdt? of als je iets tussen de spoelen in houdt.",general,2025-10-09 15:59:19.139+00,2025-10-09 15:59:18.615196+00,Judith,2,
159,420,"Ik vind het bij al de projecten die gaan over het onzichtbaar doorgeven van de signalen lastig dat het onzichtbaar is. Het kleine lampje zie je dat die aangaat, dat zou sowieso groter moeten. En zou tof zijn als je het ook nog zou kunnen visualiseren hoe die golven? er dan uitzien",general,2025-10-09 16:00:32.81+00,2025-10-09 16:00:32.293061+00,Judith,3,
160,420,"kennis en inzicht
opwinding en inspiratie",general,2025-10-09 16:00:52.881+00,2025-10-09 16:00:52.36141+00,Judith,4,
161,420,"Ik vind deze toch ook wel potentie hebben omdat we de hele dag draadloos dingen aan het versturen zijn, maar zou dus ook iets visueels willen zien hoe dat dan gat in de lucht, misschien met AR>\?",general,2025-10-09 16:01:46.503+00,2025-10-09 16:01:45.973005+00,Judith,5,
162,398,"Uitleg bij een workshop, demo of exhibit over electriciteit",general,2025-10-09 16:02:44.646+00,2025-10-09 16:02:44.113558+00,Judith,1,
163,398,Hmm als je het kan vergroten misschien? of als je er gewoon 1 heb die je kan schudden en dat er een lampje gaat branden.,general,2025-10-09 16:03:19.163+00,2025-10-09 16:03:18.833227+00,Judith,2,
164,398,Te klein en bewerkleijk en natuurkunde erachter misschien te moeilijk uit te leggen?,general,2025-10-09 16:03:59.832+00,2025-10-09 16:03:59.337065+00,Judith,3,
165,419,Could be used as a diy [project to build your self for schools or in de werkplaats,general,2025-10-09 16:05:09.808+00,2025-10-09 16:05:09.360651+00,Judith,2,
166,334,We hebben al een workshop met de naam Praat in codetaal. Daar kunnen bezoekers morsecode berichten naar elkaar sturen. Ook kunnen ze bij een paar plekken modeltreintjes aansturen. Ik zou deze dus laten vallen.,general,2025-10-10 10:53:47.996+00,2025-10-10 10:53:48.066988+00,Marije,5,
